3,4	2,1	1,2	3,4	2,3	1,0
0,12	8,10	5,0	9,7	13,7	0,5
21,1	3,1	5,12	38,1	3,4	0,5
0,1	12,14	9,1	10,9	9,7	16,0
5,10	18,19	0,2	23,27	0,6	5,7
0,1	1,0	4,39	10,56	1,0	5,10
15,21	10,16	12,7	7,3	11,8	15,43
5,10	9,55	9,5	1,0	5,0	2,10
12,16	7,47	4,6	14,15	12,16	6,10
6,7	8,2	1,18	8,2	8,2	2,3
7,6	1,0	2,3	1,2	2,1	0,1
4,0	4,8	0,11	5,8	11,5	12,8
17,18	4,2	15,17	3,2	12,17	4,8
3,4	0,1	2,3	1,0	5,3	3,13
5,6	4,17	8,5	6,9	9,2	4,1
9,3	1,7	7,13	9,0	2,7	1,3
6,25	3,16	0,1	6,33	6,1	2,1
2,3	9,3	2,12	5,20	2,0	8,14
9,6	6,10	1,2	20,6	1,0	11,15
2,3	2,3	10,1	33,12	10,28	1,10
50,24	26,1	30,4	16,15	29,12	9,11
36,5	2,3	3,2	8,0	6,3	0,2
2,4	4,16	4,0	2,16	16,13	16,12
11,21	0,8	4,16	7,21	16,7	0,1
6,1	11,0	16,8	3,1	9,16	11,2
8,7	13,15	8,9	9,30	13,15	1,7
8,13	3,14	15,16	0,14	13,15	3,13
10,11	5,4	0,1	12,0	3,0	10,4
8,16	0,1	1,0	1,0	4,6	6,20
3,1	2,1	4,0	17,3	3,6	0,8
16,13	8,25	3,2	8,0	10,2	8,3
1,4	1,4	1,11	8,1	5,3	4,2
25,19	10,8	58,8	11,39	4,3	21,4
2,9	9,3	3,12	5,1	3,1	9,5
3,1	4,2	14,3	6,7	6,2	0,3
3,4	3,1	10,1	2,10	1,3	11,3
10,3	2,3	6,1	10,9	3,4	2,0
18,6	11,17	18,2	18,21	1,2	61,4
4,10	5,3	5,28	7,5	6,21	15,29
4,8	4,5	2,4	1,19	2,3	4,5
3,14	11,14	11,15	4,5	4,5	5,15
3,1	4,2	4,1	1,13	5,7	1,7
3,0	9,53	5,9	14,3	4,22	0,2
4,5	1,5	6,4	6,8	8,5	4,5
1,2	13,18	7,16	14,3	14,3	7,12
6,1	13,12	21,7	2,3	13,0	13,0
5,4	2,9	3,5	8,1	1,4	3,1
4,6	4,6	4,17	34,33	2,5	4,25
39,6	44,7	3,1	2,1	1,3	2,7
27,9	12,5	3,83	9,16	13,3	2,22
5,0	13,9	12,4	7,4	16,3	4,6
3,1	16,4	3,2	3,2	4,22	0,8
6,5	1,21	1,25	0,1	0,16	2,0
3,27	2,3	1,3	0,3	5,4	1,9
6,4	4,6	5,4	19,4	1,17	5,4
3,20	3,17	4,8	2,1	20,45	1,2
1,4	2,1	7,6	0,2	5,3	6,7
0,1	22,23	2,3	1,0	2,3	1,4
2,8	3,1	6,3	4,1	26,16	2,1
5,4	1,0	17,1	5,3	0,2	1,3
20,8	51,32	14,15	5,1	1,55	1,55
0,1	0,6	0,5	0,5	0,1	3,1
18,13	22,20	13,1	13,0	8,1	1,0
1,16	1,0	18,4	52,31	40,31	3,2
0,10	10,11	23,1	14,10	17,23	23,2
4,1	18,19	15,23	5,15	15,0	2,4
15,3	3,4	4,14	15,3	9,5	1,8
4,2	1,0	2,5	4,0	1,13	4,2
15,10	2,0	27,6	5,10	5,17	13,32
3,2	1,0	7,4	1,3	0,1	1,3
1,0	11,0	1,0	1,20	2,18	2,3
2,3	5,3	2,3	1,2	2,1	12,4
0,11	3,10	10,0	11,10	11,3	7,0
2,1	6,4	10,0	4,1	1,4	24,22
9,16	16,10	3,0	17,1	16,9	3,13
8,7	2,9	5,6	8,4	6,5	5,4
3,0	1,9	3,0	11,1	8,12	12,2
6,16	8,2	13,2	18,13	5,0	3,2
12,5	3,0	2,3	3,11	2,3	10,2
44,84	8,7	28,93	28,41	8,54	43,9
19,3	4,3	2,12	1,3	4,5	3,2
4,12	6,3	0,4	46,6	2,3	22,23
19,0	4,3	17,7	0,1	18,7	4,0
5,4	3,0	2,10	1,2	4,3	10,18
0,1	5,9	0,9	1,0	4,0	0,17
2,0	3,0	14,3	5,2	3,2	12,2
5,21	5,4	7,6	17,5	3,4	5,17
2,7	8,7	18,46	6,1	43,17	2,3
20,11	20,19	11,12	11,13	0,21	1,0
8,12	9,18	30,9	4,30	9,1	1,8
1,4	50,66	28,35	5,6	1,22	25,48
3,4	4,3	4,3	0,12	30,3	12,14
27,25	18,19	25,45	0,18	10,2	0,22
16,2	5,3	16,5	16,4	5,14	4,1
5,9	5,9	3,2	4,6	6,50	9,11
3,17	3,13	3,25	31,7	3,13	0,3
6,27	3,2	6,0	3,0	3,25	6,2
41,12	0,12	76,4	57,4	74,39	20,19
0,8	8,13	13,4	4,3	3,1	1,5
0,3	1,2	3,17	1,31	0,1	1,2
0,1	5,2	33,3	5,1	4,23	6,0
10,6	10,6	6,44	23,9	6,7	7,18
14,0	17,0	17,13	2,0	15,24	1,0
2,4	22,18	4,62	36,15	0,1	15,28
15,16	1,8	2,60	9,16	7,55	4,8
12,7	8,6	8,6	7,9	0,20	12,21
6,4	16,14	16,5	14,6	9,4	16,1
42,27	27,3	10,9	3,4	3,1	10,7
2,1	3,1	21,19	1,8	26,12	5,4
7,2	4,7	1,0	0,1	1,0	4,1
20,18	2,1	2,3	2,6	2,11	14,8
6,0	6,19	2,17	27,11	6,13	10,6
3,4	2,6	4,2	8,2	0,8	0,5
2,6	2,1	4,0	4,1	1,0	1,0
55,41	0,1	20,7	7,9	7,9	8,1
1,3	0,21	3,11	0,1	3,0	7,10
14,13	14,3	0,13	22,14	5,1	2,8
25,0	1,0	1,0	2,0	5,1	0,23
5,6	37,5	5,12	1,3	17,45	1,3
9,8	5,1	8,9	41,10	9,20	10,14
0,1	1,3	3,2	2,0	9,5	0,1
1,8	19,0	9,5	19,0	12,5	5,9
10,22	3,2	0,22	16,22	16,22	1,0
7,3	9,11	4,19	5,4	10,5	1,0
11,12	4,19	18,0	10,16	10,3	23,12
8,6	4,8	0,1	27,18	14,15	8,16
3,0	3,0	2,21	0,4	3,15	2,20
16,3	6,2	1,0	1,0	11,16	1,33
10,0	0,2	4,13	1,0	8,10	4,17
12,11	11,13	89,88	10,11	20,17	10,9
1,5	0,5	41,29	2,1	0,1	1,43
2,4	6,1	8,4	2,1	3,4	1,2
7,8	8,7	5,7	1,6	1,2	1,0
16,2	2,0	4,13	0,17	16,0	2,3
2,5	3,5	36,3	35,4	2,5	6,2
18,25	4,25	3,5	2,1	4,2	4,18
2,36	15,56	18,5	3,29	33,8	4,3
15,6	7,14	6,0	14,8	20,11	6,7
5,4	3,4	9,0	2,0	10,6	6,2
1,0	17,2	16,15	22,0	8,0	0,8
3,6	10,12	0,15	1,2	6,1	12,19
6,3	9,0	7,9	7,0	7,9	7,30
1,15	2,5	5,2	25,21	5,13	25,15
4,21	5,3	1,4	32,25	13,3	2,5
0,30	0,1	9,16	4,9	16,4	0,10
28,44	7,5	1,11	0,48	6,28	0,2
5,29	0,3	5,29	5,6	5,6	18,5
6,7	50,26	6,2	5,54	32,51	4,51
9,14	0,52	12,1	11,68	4,3	2,9
6,5	1,9	0,3	0,2	3,2	0,3
25,47	2,68	75,53	2,15	4,68	4,7
20,21	77,76	24,28	21,16	3,20	20,21
33,49	2,11	36,23	1,0	1,4	7,20
5,0	3,1	10,14	5,9	6,29	11,29
40,43	27,10	41,11	11,10	82,57	9,66
4,5	16,5	8,12	5,11	4,5	7,3
5,1	1,0	47,39	0,2	35,54	4,10
17,22	2,1	15,5	41,43	43,54	2,17
1,30	8,18	8,15	1,2	1,45	18,30
3,26	5,11	3,26	8,9	8,2	3,5
3,16	5,0	1,3	2,1	0,2	1,2
0,1	10,23	1,0	3,24	1,0	1,0
11,2	49,50	5,25	15,16	17,6	9,25
3,2	44,0	24,30	0,1	0,15	17,0
0,1	7,21	1,9	4,0	49,13	3,24
7,1	0,1	3,1	3,6	6,2	6,3
9,2	9,11	19,7	3,2	15,3	0,19
0,2	2,6	1,6	0,2	33,24	2,18
3,1	0,1	3,1	1,3	0,1	3,2
3,2	11,4	4,1	11,0	4,1	11,4
12,17	18,7	3,17	18,7	12,8	8,23
4,3	2,0	1,4	6,1	4,1	3,4
6,5	1,7	24,27	26,39	0,26	24,21
4,41	34,23	5,6	1,3	16,13	3,4
7,11	1,5	1,16	1,5	7,8	1,0
1,0	2,32	1,0	1,2	1,13	24,5
2,6	1,2	13,2	2,8	2,4	5,2
1,11	12,1	12,0	12,0	5,3	1,22
6,0	1,0	4,14	15,16	4,3	6,5
5,13	6,7	4,0	4,3	4,3	4,5
1,3	3,1	5,0	2,1	9,5	6,0
18,3	18,4	15,24	15,17	6,2	4,5
2,8	1,3	1,5	1,4	12,7	1,8
10,1	3,6	12,21	3,17	0,4	4,1
6,7	4,1	19,3	4,1	7,12	5,1
3,9	18,3	2,3	2,4	0,6	12,4
8,3	10,12	13,2	2,4	3,11	8,13
11,0	33,0	33,24	0,2	2,0	11,0
6,9	13,10	22,11	1,10	22,8	7,1
2,4	12,4	6,2	18,13	1,5	2,4
